,0
0,1.286953767623375
1,1.4025408035395783
2,1.3454583740232942
3,1.3751702528160383
4,1.360094192761733
5,1.3678469675921328
6,1.3638870038840212
7,1.36591673339004
8,1.364878217193677
9,1.365410061169957
10,1.3651378206692129
11,1.3652772085244786
12,1.3652058502970472
13,1.3652423837188388
14,1.3652236802252822
15,1.3652332557424998
16,1.365228353462627
17,1.3652308632436367
18,1.3652295783339587
19,1.3652302361581812
20,1.3652298993777325
21,1.3652300717962909
22,1.365229983524674
23,1.3652300287163228
24,1.36523000557995
25,1.3652300174248766
26,1.365230011360733
27,1.3652300144653395
28,1.3652300128759014
29,1.365230013689632
